transaction_id,date,department,region,vendor,category,amount_usd,status,approved_by,memo
TX0000079,2024-01-23,Sales,South,Delta Air Lines,Travel,22.87,approved,R. Patel,
TX0000080,2026-05-12,Sales,South,Delta Air Lines,Travel,63.19,approved,R. Patel,
TX0000081,2025-06-05,Engineering,International,AWS,Cloud,550.94,approved,S. Okafor,
TX0000082,2025-06-18,Sales,International,Delta Air Lines,Travel,758.08,approved,R. Patel,
TX0000083,2025-07-29,Sales,East,Uber,Travel,108.59,approved,R. Patel,
TX0000084,2024-08-07,Engineering,West,Dell,Hardware,5472.12,approved,S. Okafor,
TX0000085,2025-06-10,Marketing,East,Vistaprint,Printing,153.69,approved,J. Chen,
TX0000086,2026-05-27,Sales,Central,Delta Air Lines,Travel,14.50,approved,R. Patel,
TX0000087,2024-07-12,HR,East,Costco,Office Supplies,189.78,approved,L. Rossi,
TX0000088,2026-04-15,HR,International,Workday,Software,255.20,approved,L. Rossi,
TX0000089,2026-04-19,HR,East,LinkedIn,Recruiting,77.84,approved,L. Rossi,
TX0000090,2025-12-10,Engineering,West,Atlassian,Software,59.10,approved,S. Okafor,
TX0000091,2026-07-23,HR,International,Workday,Software,92.78,rejected,L. Rossi,
TX0000092,2024-04-04,Sales,South,Hilton,Travel,194.03,approved,R. Patel,
TX0000093,2024-02-29,Operations,West,Grainger,Maintenance,153.25,approved,T. Nguyen,
TX0000094,2025-05-30,HR,East,Indeed,Recruiting,103.27,pending,L. Rossi,
TX0000095,2026-05-12,Finance,East,Bloomberg,Data Services,225.92,approved,M. Alvarez,
TX0000096,2026-06-10,HR,South,Costco,Office Supplies,73.49,approved,L. Rossi,
TX0000097,2026-08-28,Operations,International,FedEx,Shipping,238.87,approved,T. Nguyen,
TX0000098,2024-03-21,Finance,Central,Staples,Office Supplies,258.94,approved,M. Alvarez,
TX0000099,2025-03-19,Engineering,East,GitHub,Software,54.88,pending,S. Okafor,
TX0000100,2026-07-06,Operations,Central,Uline,Shipping,166.15,approved,T. Nguyen,
TX0000101,2026-03-23,Sales,East,Delta Air Lines,Travel,144.28,approved,R. Patel,
TX0000102,2024-02-19,Sales,International,Delta Air Lines,Travel,74.61,approved,R. Patel,
TX0000103,2026-04-25,Sales,International,Salesforce,Software,131.26,approved,R. Patel,
TX0000104,2024-02-12,Finance,West,Oracle,Software,94.16,approved,M. Alvarez,
TX0000105,2025-08-11,Operations,South,Uline,Shipping,76.66,approved,T. Nguyen,
TX0000106,2024-01-28,Engineering,West,AWS,Cloud,52.05,approved,S. Okafor,
TX0000107,2026-05-27,Marketing,Central,Canva,Software,174.19,approved,J. Chen,
TX0000108,2025-04-24,Sales,East,Delta Air Lines,Travel,22.73,approved,R. Patel,
TX0000109,2025-09-01,Engineering,East,Atlassian,Software,107.04,approved,S. Okafor,
TX0000110,2024-01-17,Finance,South,Bloomberg,Data Services,212.82,pending,M. Alvarez,
TX0000111,2024-10-28,Operations,East,Uline,Shipping,196.82,pending,T. Nguyen,
TX0000112,2026-06-09,Sales,International,Uber,Travel,191.68,approved,R. Patel,
TX0000113,2025-08-23,Engineering,West,AWS,Cloud,288.68,approved,S. Okafor,
TX0000114,2024-01-06,Operations,East,Home Depot,Maintenance,435.15,approved,T. Nguyen,
TX0000115,2024-03-27,Sales,Central,Hilton,Travel,264.92,approved,R. Patel,
TX0000116,2025-12-30,Finance,International,Staples,Office Supplies,469.89,approved,M. Alvarez,
TX0000117,2026-09-11,Operations,South,Uline,Shipping,11.79,approved,T. Nguyen,
TX0000118,2024-10-12,Engineering,East,AWS,Cloud,13.22,approved,S. Okafor,
TX0000119,2026-06-25,Engineering,International,AWS,Cloud,137.07,approved,S. Okafor,
TX0000120,2024-12-26,HR,East,Workday,Software,146.89,approved,L. Rossi,
TX0000121,2025-11-22,Operations,International,Uline,Shipping,114.65,approved,T. Nguyen,
TX0000122,2024-12-11,Marketing,South,Google Ads,Advertising,189.81,approved,J. Chen,
TX0000123,2024-03-17,HR,East,Workday,Software,138.81,rejected,L. Rossi,
TX0000124,2025-12-11,Engineering,East,GitHub,Software,525.36,approved,S. Okafor,
TX0000125,2024-01-02,Sales,South,Hilton,Travel,146.69,approved,R. Patel,
TX0000126,2024-12-12,HR,International,Costco,Office Supplies,333.11,pending,L. Rossi,
TX0000127,2025-01-21,Finance,East,Intuit,Software,222.74,pending,M. Alvarez,
TX0000128,2024-01-30,Engineering,Central,GitHub,Software,63.55,pending,S. Okafor,
TX0000129,2025-04-27,Marketing,East,Vistaprint,Printing,189.50,approved,J. Chen,
TX0000130,2025-02-21,Engineering,Central,Dell,Hardware,208.02,approved,S. Okafor,
TX0000131,2025-10-02,Engineering,West,Atlassian,Software,659.58,approved,S. Okafor,
TX0000132,2026-04-09,Finance,West,Intuit,Software,64.65,approved,M. Alvarez,
TX0000133,2026-04-30,Sales,Central,Delta Air Lines,Travel,1138.83,approved,R. Patel,
TX0000134,2026-04-17,HR,East,Costco,Office Supplies,94.77,approved,L. Rossi,
TX0000135,2026-03-30,Engineering,West,AWS,Cloud,266.92,approved,S. Okafor,
TX0000136,2025-09-23,Marketing,International,Canva,Software,242.62,approved,J. Chen,
TX0000137,2026-08-02,Engineering,South,Dell,Hardware,273.40,approved,S. Okafor,
TX0000138,2025-03-16,Engineering,International,Atlassian,Software,69.73,approved,S. Okafor,
TX0000139,2026-01-25,Operations,West,Home Depot,Maintenance,387.42,approved,T. Nguyen,
TX0000140,2024-08-19,Engineering,International,Atlassian,Software,322.91,pending,S. Okafor,
TX0000141,2024-12-25,Engineering,South,Atlassian,Software,213.15,approved,S. Okafor,
TX0000142,2026-07-02,Finance,Central,Bloomberg,Data Services,161.79,pending,M. Alvarez,
TX0000143,2026-06-11,Marketing,West,Vistaprint,Printing,46.90,approved,J. Chen,
TX0000144,2026-04-13,Marketing,East,Google Ads,Advertising,143.72,approved,J. Chen,
TX0000145,2024-05-06,Marketing,South,Canva,Software,52.03,approved,J. Chen,
TX0000146,2026-07-08,HR,West,LinkedIn,Recruiting,115.16,approved,L. Rossi,
TX0000147,2025-02-27,Finance,West,Oracle,Software,272.25,approved,M. Alvarez,
TX0000148,2024-03-29,Marketing,Central,Vistaprint,Printing,99.48,approved,J. Chen,
TX0000149,2025-03-09,Operations,East,Home Depot,Maintenance,1008.41,approved,T. Nguyen,
TX0000150,2025-05-01,HR,Central,Costco,Office Supplies,130.63,approved,L. Rossi,
TX0000151,2024-09-18,Finance,International,Bloomberg,Data Services,23.97,approved,M. Alvarez,
TX0000152,2026-05-27,Operations,East,Uline,Shipping,102.38,approved,T. Nguyen,
TX0000153,2024-04-14,Sales,East,Uber,Travel,405.49,approved,R. Patel,
TX0000154,2025-03-13,Finance,International,Bloomberg,Data Services,314.41,pending,M. Alvarez,
TX0000155,2024-07-04,Sales,International,Hilton,Travel,522.62,approved,R. Patel,
TX0000156,2026-01-26,Finance,Central,Oracle,Software,160.66,approved,M. Alvarez,
TX0000157,2024-04-22,HR,International,Costco,Office Supplies,86.89,approved,L. Rossi,
TX0000158,2026-09-10,Marketing,West,Canva,Software,660.06,approved,J. Chen,
TX0000159,2025-11-22,Operations,West,Home Depot,Maintenance,267.92,rejected,T. Nguyen,
TX0000160,2025-01-01,Operations,West,Home Depot,Maintenance,222.13,approved,T. Nguyen,
TX0000161,2024-01-11,Operations,Central,FedEx,Shipping,2356.46,approved,T. Nguyen,
TX0000162,2025-07-11,Finance,West,Intuit,Software,428.54,approved,M. Alvarez,
TX0000163,2026-06-04,Sales,Central,Delta Air Lines,Travel,73.62,approved,R. Patel,
TX0000164,2025-12-26,Marketing,Central,Meta Ads,Advertising,51.66,pending,J. Chen,
TX0000165,2025-06-12,Engineering,International,Dell,Hardware,18.02,approved,S. Okafor,
TX0000166,2025-12-12,Marketing,West,Meta Ads,Advertising,403.26,pending,J. Chen,
TX0000167,2026-05-03,Finance,International,Bloomberg,Data Services,26.97,approved,M. Alvarez,
TX0000168,2026-05-04,Sales,South,Delta Air Lines,Travel,1054.82,approved,R. Patel,
TX0000169,2026-08-11,Finance,International,Bloomberg,Data Services,87.41,approved,M. Alvarez,
TX0000170,2025-10-12,Operations,East,Uline,Shipping,105.14,approved,T. Nguyen,
TX0000171,2024-10-03,Sales,South,Salesforce,Software,432.47,approved,R. Patel,
TX0000172,2025-12-07,Marketing,Central,Google Ads,Advertising,31.46,approved,J. Chen,
TX0000173,2025-02-04,Finance,West,Staples,Office Supplies,137.67,pending,M. Alvarez,
TX0000174,2025-07-19,Finance,East,Oracle,Software,176.75,approved,M. Alvarez,
TX0000175,2026-04-23,Sales,International,Salesforce,Software,58.94,approved,R. Patel,
TX0000176,2026-06-09,Marketing,East,Vistaprint,Printing,260.24,approved,J. Chen,
TX0000177,2025-08-25,Marketing,South,Canva,Software,275.44,approved,J. Chen,
TX0000178,2026-07-20,Marketing,International,Google Ads,Advertising,823.43,approved,J. Chen,
TX0000179,2026-08-15,Sales,East,Salesforce,Software,690.55,approved,R. Patel,
TX0000180,2026-08-29,Operations,West,Uline,Shipping,63.37,approved,T. Nguyen,
TX0000181,2024-11-01,Finance,East,Oracle,Software,40.89,rejected,M. Alvarez,
TX0000182,2025-03-21,HR,West,LinkedIn,Recruiting,511.31,pending,L. Rossi,
TX0000183,2024-09-16,HR,South,Workday,Software,217.21,rejected,L. Rossi,
TX0000184,2024-02-13,Operations,Central,FedEx,Shipping,184.47,approved,T. Nguyen,
TX0000185,2025-03-15,Engineering,West,Dell,Hardware,860.12,approved,S. Okafor,
TX0000186,2026-03-27,Sales,South,Uber,Travel,188.21,approved,R. Patel,
TX0000187,2024-02-23,Finance,International,Intuit,Software,18.96,approved,M. Alvarez,
TX0000188,2025-10-22,Marketing,Central,Vistaprint,Printing,74.11,rejected,J. Chen,
TX0000189,2024-07-31,Sales,Central,Salesforce,Software,74.94,rejected,R. Patel,
TX0000190,2025-02-07,Operations,East,Uline,Shipping,161.95,approved,T. Nguyen,
TX0000191,2024-10-20,HR,South,Indeed,Recruiting,10.48,approved,L. Rossi,
TX0000192,2026-05-19,Engineering,Central,Dell,Hardware,53.50,pending,S. Okafor,
TX0000193,2026-01-01,Engineering,East,Dell,Hardware,72.36,approved,S. Okafor,
TX0000194,2026-01-27,HR,Central,Indeed,Recruiting,302.64,approved,L. Rossi,
TX0000195,2026-08-10,Operations,Central,Grainger,Maintenance,11.68,approved,T. Nguyen,
TX0000196,2026-09-11,Operations,Central,Home Depot,Maintenance,40.60,approved,T. Nguyen,
TX0000197,2024-03-09,HR,South,LinkedIn,Recruiting,116.67,pending,L. Rossi,
TX0000198,2024-05-02,Engineering,Central,Dell,Hardware,353.21,approved,S. Okafor,
TX0000199,2025-08-13,Finance,Central,Staples,Office Supplies,68.59,pending,M. Alvarez,
TX0000200,2025-06-14,Sales,West,Uber,Travel,326.38,approved,R. Patel,
TX0000201,2024-07-02,Marketing,South,Canva,Software,419.43,rejected,J. Chen,
TX0000202,2024-01-08,Engineering,International,Atlassian,Software,94.79,approved,S. Okafor,
TX0000203,2024-01-22,Finance,South,Intuit,Software,95.40,approved,M. Alvarez,
TX0000204,2026-02-09,Finance,International,Intuit,Software,131.35,approved,M. Alvarez,
TX0000205,2024-07-23,Marketing,West,Google Ads,Advertising,26.16,approved,J. Chen,
TX0000206,2026-02-26,Engineering,West,Dell,Hardware,118.69,pending,S. Okafor,
TX0000207,2024-03-26,HR,West,Costco,Office Supplies,87.77,approved,L. Rossi,
TX0000208,2024-02-20,Finance,Central,Staples,Office Supplies,235.05,approved,M. Alvarez,
TX0000209,2025-02-03,Marketing,East,Meta Ads,Advertising,567.19,approved,J. Chen,
TX0000210,2024-12-25,Finance,East,Bloomberg,Data Services,145.02,approved,M. Alvarez,
TX0000211,2025-12-22,Marketing,West,Meta Ads,Advertising,124.61,approved,J. Chen,
TX0000212,2026-03-16,Engineering,South,Dell,Hardware,100.48,approved,S. Okafor,
TX0000213,2026-05-09,Marketing,East,Google Ads,Advertising,42.38,rejected,J. Chen,
TX0000214,2025-07-25,HR,West,LinkedIn,Recruiting,152.73,approved,L. Rossi,
TX0000215,2024-09-23,Engineering,International,AWS,Cloud,135.48,pending,S. Okafor,
TX0000216,2025-05-25,Finance,South,Bloomberg,Data Services,304.74,approved,M. Alvarez,
TX0000217,2025-07-15,Engineering,West,GitHub,Software,182.98,approved,S. Okafor,
TX0000218,2026-02-06,Finance,South,Bloomberg,Data Services,106.82,approved,M. Alvarez,
TX0000219,2026-07-03,Marketing,East,Google Ads,Advertising,35.84,approved,J. Chen,
TX0000220,2024-10-28,Sales,East,Hilton,Travel,195.96,approved,R. Patel,
TX0000221,2025-01-08,Engineering,West,GitHub,Software,789.33,approved,S. Okafor,
TX0000222,2025-11-17,HR,International,LinkedIn,Recruiting,178.10,approved,L. Rossi,
TX0000223,2025-07-02,Sales,West,Salesforce,Software,72.46,approved,R. Patel,
TX0000224,2026-06-05,Marketing,East,Google Ads,Advertising,270.42,approved,J. Chen,
TX0000225,2025-10-22,Sales,South,Delta Air Lines,Travel,266.76,approved,R. Patel,
TX0000226,2025-06-07,Marketing,East,Vistaprint,Printing,118.92,approved,J. Chen,
TX0000227,2024-07-13,Engineering,International,Dell,Hardware,204.60,rejected,S. Okafor,
TX0000228,2024-05-11,Operations,East,Uline,Shipping,135.32,approved,T. Nguyen,
TX0000229,2024-09-23,HR,East,Costco,Office Supplies,203.09,approved,L. Rossi,
TX0000230,2024-02-23,Sales,West,Delta Air Lines,Travel,620.12,approved,R. Patel,
TX0000231,2025-01-09,HR,West,Costco,Office Supplies,79.91,approved,L. Rossi,
TX0000232,2024-03-19,Engineering,West,Atlassian,Software,84.05,approved,S. Okafor,
TX0000233,2024-06-09,HR,West,LinkedIn,Recruiting,48.10,approved,L. Rossi,
TX0000234,2024-03-27,Marketing,Central,Meta Ads,Advertising,56.58,approved,J. Chen,
TX0000235,2024-05-16,Marketing,East,Canva,Software,402.70,rejected,J. Chen,
TX0000236,2024-05-15,Operations,West,Uline,Shipping,434.48,pending,T. Nguyen,
TX0000237,2026-04-09,Marketing,International,Google Ads,Advertising,63.21,pending,J. Chen,
TX0000238,2026-08-19,HR,International,Costco,Office Supplies,7.87,approved,L. Rossi,
TX0000239,2026-05-13,Operations,South,Uline,Shipping,91.41,approved,T. Nguyen,
TX0000240,2026-02-13,Sales,South,Uber,Travel,243.77,approved,R. Patel,
TX0000241,2025-10-05,Finance,South,Staples,Office Supplies,1486.99,approved,M. Alvarez,
TX0000242,2026-04-30,HR,South,Costco,Office Supplies,120.79,approved,L. Rossi,
TX0000243,2025-01-05,Engineering,Central,GitHub,Software,117.22,approved,S. Okafor,
TX0000244,2025-08-07,Engineering,South,Dell,Hardware,89.10,approved,S. Okafor,
TX0000245,2025-06-05,Operations,South,FedEx,Shipping,250.31,pending,T. Nguyen,
TX0000246,2025-04-20,HR,West,Workday,Software,34.10,approved,L. Rossi,
TX0000247,2026-04-28,Engineering,International,Dell,Hardware,78.98,approved,S. Okafor,
TX0000248,2025-03-03,Finance,International,Staples,Office Supplies,136.25,approved,M. Alvarez,
TX0000249,2024-01-05,Marketing,South,Vistaprint,Printing,73.00,approved,J. Chen,
TX0000250,2024-11-05,Engineering,International,Dell,Hardware,89.22,approved,S. Okafor,
TX0000251,2026-04-05,Engineering,East,GitHub,Software,59.85,approved,S. Okafor,
TX0000252,2026-01-13,HR,International,Costco,Office Supplies,112.39,approved,L. Rossi,
TX0000253,2025-11-16,Finance,West,Intuit,Software,222.62,approved,M. Alvarez,
TX0000254,2025-10-05,Engineering,South,GitHub,Software,116.62,rejected,S. Okafor,
TX0000255,2025-01-23,Marketing,East,Canva,Software,153.81,approved,J. Chen,
TX0000256,2025-03-25,Sales,Central,Hilton,Travel,27.41,approved,R. Patel,
TX0000257,2024-04-25,Operations,South,FedEx,Shipping,29.82,approved,T. Nguyen,
TX0000258,2024-04-03,Operations,Central,Home Depot,Maintenance,184.25,approved,T. Nguyen,
TX0000259,2025-09-10,Marketing,South,Canva,Software,46.79,approved,J. Chen,
TX0000260,2026-03-27,HR,East,Indeed,Recruiting,1141.62,approved,L. Rossi,
TX0000261,2025-06-06,Finance,South,Staples,Office Supplies,737.30,pending,M. Alvarez,
TX0000262,2025-06-22,Marketing,East,Google Ads,Advertising,137.27,rejected,J. Chen,
TX0000263,2026-08-09,Finance,South,Staples,Office Supplies,433.10,approved,M. Alvarez,
TX0000264,2025-10-15,HR,International,LinkedIn,Recruiting,1729.98,approved,L. Rossi,
TX0000265,2024-12-10,Engineering,South,GitHub,Software,40.66,rejected,S. Okafor,
TX0000266,2025-02-17,Operations,East,Grainger,Maintenance,131.32,approved,T. Nguyen,
TX0000267,2024-11-18,Marketing,West,Vistaprint,Printing,87.01,rejected,J. Chen,
TX0000268,2026-02-12,Finance,Central,Intuit,Software,49.45,approved,M. Alvarez,
TX0000269,2026-02-19,Engineering,West,Dell,Hardware,164.31,approved,S. Okafor,
TX0000270,2026-07-15,HR,Central,Indeed,Recruiting,283.13,approved,L. Rossi,
TX0000271,2026-03-29,Finance,Central,Intuit,Software,67.25,approved,M. Alvarez,
TX0000272,2026-07-06,Sales,South,Salesforce,Software,289.65,approved,R. Patel,
TX0000273,2026-07-30,Finance,West,Oracle,Software,683.20,approved,M. Alvarez,
TX0000274,2024-03-07,Finance,Central,Oracle,Software,548.11,approved,M. Alvarez,
TX0000275,2025-09-25,Sales,East,Delta Air Lines,Travel,57.81,approved,R. Patel,
TX0000276,2026-02-02,Finance,West,Staples,Office Supplies,72.57,pending,M. Alvarez,
TX0000277,2026-04-25,Engineering,West,GitHub,Software,182.71,approved,S. Okafor,
TX0000278,2024-11-02,Engineering,East,Atlassian,Software,84.97,approved,S. Okafor,
TX0000279,2025-08-02,HR,South,Workday,Software,57.49,approved,L. Rossi,
TX0000280,2024-10-22,Finance,East,Bloomberg,Data Services,238.93,approved,M. Alvarez,
TX0000281,2024-12-07,Sales,International,Uber,Travel,795.01,approved,R. Patel,
TX0000282,2025-06-18,Engineering,Central,AWS,Cloud,317.20,pending,S. Okafor,
TX0000283,2024-10-05,HR,Central,Workday,Software,281.88,rejected,L. Rossi,
TX0000284,2024-01-30,Operations,Central,Uline,Shipping,120.83,approved,T. Nguyen,
TX0000285,2025-02-24,Marketing,International,Canva,Software,145.95,approved,J. Chen,
TX0000286,2025-07-07,Marketing,West,Vistaprint,Printing,351.35,approved,J. Chen,
TX0000287,2026-09-01,HR,West,Workday,Software,55.75,pending,L. Rossi,
TX0000288,2025-03-30,Marketing,South,Meta Ads,Advertising,143.88,approved,J. Chen,
TX0000289,2024-01-12,Engineering,Central,Dell,Hardware,208.42,approved,S. Okafor,
TX0000290,2024-03-10,HR,East,Indeed,Recruiting,31.90,approved,L. Rossi,
TX0000291,2025-03-09,HR,East,Indeed,Recruiting,97.84,approved,L. Rossi,
TX0000292,2026-04-20,Sales,Central,Hilton,Travel,1211.21,rejected,R. Patel,
TX0000293,2026-02-20,HR,Central,Costco,Office Supplies,28.95,approved,L. Rossi,
TX0000294,2025-02-13,Engineering,Central,AWS,Cloud,539.97,approved,S. Okafor,
TX0000295,2024-12-06,Marketing,International,Meta Ads,Advertising,166.19,approved,J. Chen,
TX0000296,2025-09-21,Marketing,South,Canva,Software,669.08,approved,J. Chen,
TX0000297,2024-09-16,Operations,International,Home Depot,Maintenance,158.95,approved,T. Nguyen,
TX0000298,2026-06-08,Operations,Central,Uline,Shipping,142.85,approved,T. Nguyen,
TX0000299,2025-01-03,Sales,Central,Delta Air Lines,Travel,83.02,approved,R. Patel,
TX0000300,2026-01-10,Marketing,South,Vistaprint,Printing,140.84,approved,J. Chen,
TX0000301,2026-03-06,Marketing,Central,Meta Ads,Advertising,112.83,pending,J. Chen,
TX0000302,2026-07-08,Operations,East,Uline,Shipping,143.99,approved,T. Nguyen,
TX0000303,2024-03-14,Sales,International,Salesforce,Software,319.54,approved,R. Patel,
TX0000304,2024-11-30,Marketing,South,Google Ads,Advertising,200.93,approved,J. Chen,
TX0000305,2025-06-02,Sales,Central,Salesforce,Software,134.25,approved,R. Patel,
TX0000306,2026-08-20,Sales,South,Delta Air Lines,Travel,178.41,approved,R. Patel,
TX0000307,2026-01-23,Engineering,International,GitHub,Software,445.21,approved,S. Okafor,
TX0000308,2026-01-18,Operations,Central,Uline,Shipping,21.23,approved,T. Nguyen,
TX0000309,2025-10-12,Finance,International,Intuit,Software,93.99,approved,M. Alvarez,
TX0000310,2025-12-14,Operations,Central,Home Depot,Maintenance,121.32,approved,T. Nguyen,
TX0000311,2024-06-18,Sales,Central,Delta Air Lines,Travel,66.15,approved,R. Patel,
TX0000312,2026-01-15,Engineering,South,Dell,Hardware,140.23,approved,S. Okafor,
TX0000313,2025-06-16,Finance,East,Oracle,Software,329.37,approved,M. Alvarez,
